"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"LOC105377113 ",385.758424605465,-6.9806660105708,1.1139420544702,-6.26663297481022,3.68938344261991e-10,3.94351550708361e-08,6.9806660105708
"LINC00472 ",67.449211804141,-5.22471504824543,0.834112069384349,-6.26380463730941,3.75696114397544e-10,3.99095952633786e-08,5.22471504824543
"LOC124904096 ",213.894764440496,-5.15979961720528,0.826278845234325,-6.24462268030354,4.24824383153268e-10,4.485155097966e-08,5.15979961720528
"SIRPD ",72.4619805989091,4.55579552999452,0.732303949834029,6.22118115166121,4.93426057020404e-10,5.14628425167523e-08,4.55579552999452
"ADPRHL1 ",993.983956596604,-5.92993271385734,0.96027711972528,-6.17523066211741,6.60669440882043e-10,6.84907253502354e-08,5.92993271385734
"LZTS3 ",127.443572127986,-4.04933601964671,0.658574256983873,-6.14864000028151,7.81501295312134e-10,8.04901838359295e-08,4.04933601964671
"PTPRG ",465.766738268843,-7.11404789340398,1.15717433672065,-6.14777537632287,7.85772031171838e-10,8.04901838359295e-08,7.11404789340398
"NPY ",120.8039755314,-6.35344820576919,1.03508612242138,-6.13808654965496,8.35213577543199e-10,8.50484642363368e-08,6.35344820576919
"HOMER1 ",74.1697925711338,-6.59370045388491,1.07936931726572,-6.10884555305702,1.00354382710742e-09,1.00994068542057e-07,6.59370045388491
"ATP8B4 ",1013.00320889114,4.59435205439441,0.755238919074388,6.08330945129945,1.17726812599227e-09,1.17107555954919e-07,4.59435205439441
"CD180 ",625.537683254343,4.29618141486638,0.708719642954146,6.0618912676932,1.34530153462397e-09,1.32293109196251e-07,4.29618141486638
"MTUS2 ",225.914839724764,-5.81805610332665,0.962450533549529,-6.04504429112797,1.4936896287717e-09,1.46050595576887e-07,5.81805610332665
"DIP2C ",612.282862549843,-4.31041708239748,0.714671927835083,-6.03132278534403,1.626229934504e-09,1.57223544622917e-07,4.31041708239748
"TSPAN2 ",396.653873920048,4.78759693382469,0.800908334824992,5.9777089657468,2.26297550301988e-09,2.10505650980914e-07,4.78759693382469
"NLRC4 ",411.294145767033,4.09628546981723,0.685858258932673,5.97249565266128,2.33651374291941e-09,2.1617776882742e-07,4.09628546981723
"PLOD2 ",210.814559928139,-7.17445131791797,1.20189510297115,-5.96928242754489,2.38299302044515e-09,2.19299074271875e-07,7.17445131791797
"RUNX2 ",792.183697245239,4.47599558861753,0.752407178516641,5.94890069688315,2.69949343968286e-09,2.45796733351864e-07,4.47599558861753
"CCR3 ",129.075714654765,6.42422548032855,1.08016006801224,5.94747544421886,2.72309601522538e-09,2.46640838557967e-07,6.42422548032855
"MYCL ",170.4887038186,9.44512436425618,1.58903565310809,5.94393482977045,2.7826026564819e-09,2.5071104248899e-07,9.44512436425618
"LOC105374947 ",958.974103433202,-4.28423375594633,0.726648334584799,-5.8958832657262,3.72682384984024e-09,3.32305241616065e-07,4.28423375594633
"ADGRE4P ",166.116289964282,5.90670509647602,1.00238018079532,5.89267945400663,3.79983073865793e-09,3.3706849062662e-07,5.90670509647602
"CCR2 ",1017.70923208792,5.4882968611342,0.939072910021872,5.84437779278115,5.08465152591503e-09,4.39707377434531e-07,5.4882968611342
"SIGLEC6 ",58.7422923698114,4.52123663871895,0.77526623310385,5.83185033174702,5.4816077563849e-09,4.6931834765984e-07,4.52123663871895
"LOC440864 ",381.534052501826,-10.5494894103354,1.81555231330535,-5.81062265902394,6.22409102964872e-09,5.30249418461509e-07,10.5494894103354
"PELATON ",129.857107814782,4.19320194977752,0.722366166589266,5.80481498680399,6.44371159583469e-09,5.43577612023133e-07,4.19320194977752
"GNG12 ",202.365049737752,-5.76015350370816,0.995662282561768,-5.78524827603964,7.24053101138025e-09,5.96183244855707e-07,5.76015350370816
"KIAA1671 ",483.733241236737,-4.0260941383457,0.696467175998593,-5.78073781089983,7.4373723464284e-09,6.06586448861072e-07,4.0260941383457
"KLHDC7B ",294.63376498144,7.91242090407042,1.36946965080987,5.77772636245806,7.57168175320036e-09,6.14627694768042e-07,7.91242090407042
"SYDE1 ",333.42838485222,-7.84670034617783,1.36426342492291,-5.7516020753992,8.84016792337775e-09,7.14227463818815e-07,7.84670034617783
"ZNF334 ",73.1739346346001,-7.17341830684225,1.24913121799567,-5.7427259870685,9.3164419534904e-09,7.49189951297272e-07,7.17341830684225
"RNASE2CP ",65.1050003670952,4.40813548534873,0.771884489950881,5.71087454501027,1.12397081055509e-08,8.95482114761231e-07,4.40813548534873
"LOC124906245 ",59.8308408349986,-9.33334296936806,1.65124539406543,-5.65230522544501,1.58310145102748e-08,1.21623182458625e-06,9.33334296936806
"TUNAR ",312.4288243377,-8.2380763681683,1.45919495014219,-5.64563108402039,1.64576417301349e-08,1.25875358459507e-06,8.2380763681683
"GRB7 ",88.0016046672488,-6.40769566565213,1.13997318838393,-5.62091786977544,1.89945562449442e-08,1.43998818686892e-06,6.40769566565213
"LOC101929621 ",116.789525591155,-6.89310569312903,1.22770570446567,-5.61462382072182,1.96990326811578e-08,1.48684497109669e-06,6.89310569312903
"TPPP3 ",85.9724989598469,4.32329909382359,0.774101947788344,5.58492212321067,2.33804960031385e-08,1.7342886022328e-06,4.32329909382359
"RASIP1 ",225.658974386029,-5.28366386337986,0.948261523389303,-5.57194796272534,2.51906671552826e-08,1.85259056015068e-06,5.28366386337986
"SNTB1 ",992.028659471027,4.52763829051231,0.813201007188892,5.5676742287416,2.58161897336862e-08,1.88250342850426e-06,4.52763829051231
"SLC25A27 ",93.6196045605757,-5.96442298537458,1.07588817012484,-5.5437202034506,2.96111871097843e-08,2.12222364422585e-06,5.96442298537458
"PPM1H ",122.690881803695,4.01067574575519,0.726281730846869,5.52220381624993,3.34773824490337e-08,2.36959878674974e-06,4.01067574575519
"CD101 ",269.288080133532,5.30159591734898,0.960160287663173,5.52157383039861,3.35976584326188e-08,2.36959878674974e-06,5.30159591734898
"ZNF667 ",66.9337371274833,-5.41821438471063,0.98165281159931,-5.51948134889287,3.4000167696643e-08,2.38819953425114e-06,5.41821438471063
"GPBAR1 ",158.007149060292,4.39079894962356,0.797354224968288,5.50671058374111,3.65600568650145e-08,2.55202861590352e-06,4.39079894962356
"ZNF516 ",593.187280976149,4.10276034204525,0.745092384249412,5.50637803952092,3.6629151497947e-08,2.55202861590352e-06,4.10276034204525
"NRG3 ",101.816461206535,-10.1003534876933,1.83473773238715,-5.50506664216902,3.69028646279357e-08,2.56051716746835e-06,10.1003534876933
"OASL ",327.040392476779,5.39415584048767,0.986350238431119,5.46880370715738,4.53083181361202e-08,3.08186105456321e-06,5.39415584048767
"LOC124903752 ",57.3303932522482,-4.46485729679394,0.81897014944874,-5.45179491560137,4.98639424835433e-08,3.37838026062715e-06,4.46485729679394
"ODF3B ",480.481768416657,4.49223203071175,0.826903665764126,5.43259416628728,5.55406270065231e-08,3.70464593083433e-06,4.49223203071175
"SLCO4C1 ",242.835107271511,4.66433686291923,0.860283586740022,5.4218596458342,5.89821862368487e-08,3.90394016519203e-06,4.66433686291923
"CPS1 ",46.097556483815,-5.16092773897633,0.952084679392425,-5.42066042095099,5.9379259747181e-08,3.9151635286944e-06,5.16092773897633
"LRFN3 ",78.1030181151409,-4.17990295495705,0.771568674722845,-5.41740883461671,6.04689642193089e-08,3.95669355608398e-06,4.17990295495705
"MYOF ",565.996988824027,4.34320077218735,0.803070654267908,5.40824241192909,6.36462419212051e-08,4.13316293291328e-06,4.34320077218735
"BOC ",88.9524942175171,-5.29112719557056,0.98598387475855,-5.36634252448222,8.0349288482822e-08,5.10232806457891e-06,5.29112719557056
"CRMP1 ",55.7322196188111,-6.79895257720478,1.2696587191127,-5.35494497447014,8.55824576041733e-08,5.41466365040521e-06,6.79895257720478
"NXPH3 ",200.875979685226,-6.3734515570641,1.1904060555997,-5.35401473058979,8.60238524187833e-08,5.42265375924851e-06,6.3734515570641
"ARAP3 ",482.530856826398,4.0765545372444,0.761647404692807,5.35228573238372,8.68501139918981e-08,5.45475770688531e-06,4.0765545372444
"HS3ST4 ",94.3248244392129,-9.99010260964307,1.87025682154654,-5.34156726207374,9.2146412791696e-08,5.74546238308803e-06,9.99010260964307
"NAV2 ",193.493389403802,-5.151157402349,0.965495360741342,-5.33524821744742,9.54139429230786e-08,5.92772037459661e-06,5.151157402349
"CARD9 ",289.479649138957,4.06801446935364,0.764029704427431,5.32441925461817,1.01276076190698e-07,6.26928055815007e-06,4.06801446935364
"TRPM8 ",45.132064522578,-8.92658745715727,1.68213691142053,-5.30669495244532,1.1163076016484e-07,6.81224734637139e-06,8.92658745715727
"HRH4 ",136.523740436968,7.54096061137753,1.42361676626008,5.29704397285798,1.17692361035256e-07,7.1315769051258e-06,7.54096061137753
"RBMS3 ",119.688442958463,-4.8984107133697,0.9250241627171,-5.29544082284451,1.18729639877027e-07,7.16416111005292e-06,4.8984107133697
"BGN ",135.590899528707,-10.5134914099839,1.98557743480082,-5.29492893387891,1.19062704252143e-07,7.16416111005292e-06,10.5134914099839
"DAGLA ",173.803626957878,5.1059055179535,0.965172136346404,5.29015014594347,1.22215988287335e-07,7.32827506075521e-06,5.1059055179535
"LOC124903563 ",102.834775459022,-5.20464329195554,0.992188904948551,-5.24561730734675,1.55759915906569e-07,9.18094448364032e-06,5.20464329195554
"OR7C1 ",64.8585976703598,-9.44993205718506,1.80436036784078,-5.23727533901307,1.62964484722071e-07,9.53896536592555e-06,9.44993205718506
"LIPN ",236.267658018638,6.03870527045051,1.1549244216592,5.22865839288003,1.70744516835585e-07,9.926832399404e-06,6.03870527045051
